institution,label,institution_state,statefips
00353900,Alvin Community College,TX,48
00354000,Amarillo College,TX,48
00354100,Angelo State University,TX,48
00354600,Coastal Bend College,TX,48
00354900,Blinn College,TX,48
00355300,Cisco College,TX,48
00355400,Clarendon College,TX,48
00355800,North Central Texas College,TX,48
00356100,Cedar Valley College,TX,48
00356300,Del Mar College,TX,48
00356500,Texas A&M University - Commerce,TX,48
00356800,Frank Phillips College,TX,48
00357000,Grayson College,TX,48
00357200,Trinity Valley Community College,TX,48
00357300,Hill College,TX,48
00357400,Howard County Junior College District,TX,48
00358000,Kilgore College,TX,48
00358100,Lamar University,TX,48
00358200,Laredo College,TX,48
00358300,Lee College,TX,48
00359000,McLennan Community College,TX,48
00359200,Midwestern State University,TX,48
00359300,Navarro College,TX,48
00359400,University of North Texas,TX,48
00359600,Odessa College,TX,48
00359900,University of Texas Rio Grande Valley,TX,48
00360000,Panola College,TX,48
00360100,Paris Junior College,TX,48
00360300,Ranger College,TX,48
00360600,Sam Houston State University,TX,48
00360800,Saint Philip's College,TX,48
00360900,San Jacinto Community College District,TX,48
00361100,South Plains College,TX,48
00361200,University Of Houston - Downtown,TX,48
00361400,Southwest Texas Junior College,TX,48
00361500,Texas State University,TX,48
00362400,Stephen F Austin State University,TX,48
00362500,Sul Ross State University,TX,48
00362600,Tarrant County College District,TX,48
00362700,Temple College,TX,48
00362800,Texarkana College,TX,48
00363000,Prairie View Agricultural & Mechanical University,TX,48
00363100,Tarleton State University,TX,48
00363200,Texas A&M University,TX,48
00363400,Texas State Technical College,TX,48
00363900,Texas A&M University - Kingsville,TX,48
00364200,Texas Southern University,TX,48
00364400,Texas Tech University,TX,48
00364600,Texas Womans University,TX,48
00364800,Tyler Junior College,TX,48
00365200,University of Houston,TX,48
00365600,University of Texas at Arlington,TX,48
00365800,University of Texas - Austin,TX,48
00365900,University of Texas Health Science Center at San Antonio,TX,48
00366100,University of Texas at El Paso,TX,48
00366200,Victoria College,TX,48
00366400,Weatherford College,TX,48
00366500,West Texas A&M University,TX,48
00366800,Wharton County Junior College,TX,48
00400300,Central Texas College,TX,48
00445300,Dallas College,TX,48
00494800,Texas A&M University System Health Science Center,TX,48
00495100,University of Texas Health Science Center at Houston,TX,48
00495200,University of Texas Medical Branch at Galveston,TX,48
00497200,Galveston College,TX,48
00666100,Angelina College,TX,48
00709600,College of the Mainland,TX,48
00728700,Brazosport College,TX,48
00850300,Mountain View College,TX,48
00850400,Richland College,TX,48
00851000,Eastfield College,TX,48
00916300,San Antonio College,TX,48
00954900,Western Texas College,TX,48
00965100,Texas A&M International University,TX,48
00974100,University of Texas at Dallas,TX,48
00976800,University of North Texas Health Science Center at Fort Worth,TX,48
00979700,Midland College,TX,48
00993000,University of Texas of the Permian Basin,TX,48
01001900,University of Texas Southwestern Medical Center (The),TX,48
01006000,Vernon College,TX,48
01011500,University of Texas at San Antonio,TX,48
01029800,Texas A & M University at Galveston,TX,48
01038700,El Paso County Community College District,TX,48
01063300,Houston Community College,TX,48
01067400,Texas Tech University Health Sciences Center,TX,48
01114500,Lone Star College System,TX,48
01116100,Texas A&M University - Corpus Christi,TX,48
01116300,University of Texas at Tyler,TX,48
01171100,University of Houston-Clear Lake,TX,48
01201500,Austin Community College,TX,48
01323100,University of Houston - Victoria,TX,48
02077400,North Lake College,TX,48
02100200,Brookhaven College,TX,48
02315400,Northeast Texas Community College,TX,48
02341300,Palo Alto College,TX,48
02348500,Lamar State College - Port Arthur,TX,48
02358200,Lamar State College - Orange,TX,48
02361400,Collin County Community College District,TX,48
02555400,University of Texas M.D. Anderson Cancer Center,TX,48
03064600,Texas Southmost College,TX,48
03103400,South Texas College,TX,48
03170300,Texas A & M University - Texarkana,TX,48
03372300,Northwest Vista College,TX,48
03627300,Lamar Institute of Technology,TX,48
04229500,Texas A&M University - Central Texas,TX,48
04242100,University of North Texas at Dallas,TX,48
04243900,University of Texas Health Science Center at Tyler (The),TX,48
04248500,Texas A&M University-San Antonio,TX,48
04263600,Northeast Lakeview College,TX,48
